,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,MW,HomeTeamScored,AwayTeamScored,HomeTeamConceded,AwayTeamConceded,HomeGoalDiff,AwayGoalDiff,DiffInGoals,HomeTeamPoints,AwayTeamPoints,DiffPts,HM1,AM1,HM2,AM2,HM3,AM3
0,18/08/17,Bayern Munich,Leverkusen,3.0,1.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
1,19/08/17,Hamburg,Augsburg,1.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
2,19/08/17,Hertha,Stuttgart,2.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
3,19/08/17,Hoffenheim,Werder Bremen,1.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
4,19/08/17,Mainz,Hannover,0.0,1.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
5,19/08/17,Schalke 04,RB Leipzig,2.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
6,19/08/17,Wolfsburg,Dortmund,0.0,3.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
7,20/08/17,Freiburg,Ein Frankfurt,0.0,0.0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
8,20/08/17,M'gladbach,FC Koln,1.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
9,25/08/17,FC Koln,Hamburg,1.0,3.0,A,2,0.0,1.0,1.0,0.0,-1.0,1.0,-2.0,0,3,-3,M,M,M,M,M,M
10,26/08/17,Augsburg,M'gladbach,2.0,2.0,D,2,0.0,1.0,1.0,0.0,-1.0,1.0,-2.0,0,3,-3,M,M,M,M,M,M
11,26/08/17,Dortmund,Hertha,2.0,0.0,H,2,3.0,2.0,0.0,0.0,3.0,2.0,1.0,3,3,0,M,M,M,M,M,M
12,26/08/17,Ein Frankfurt,Wolfsburg,0.0,1.0,A,2,0.0,0.0,0.0,3.0,0.0,-3.0,3.0,1,0,1,M,M,M,M,M,M
13,26/08/17,Leverkusen,Hoffenheim,2.0,2.0,D,2,1.0,1.0,3.0,0.0,-2.0,1.0,-3.0,0,3,-3,M,M,M,M,M,M
14,26/08/17,Stuttgart,Mainz,1.0,0.0,H,2,0.0,0.0,2.0,1.0,-2.0,-1.0,-1.0,0,0,0,M,M,M,M,M,M
