,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,MW,HomeTeamScored,AwayTeamScored,HomeTeamConceded,AwayTeamConceded,HomeGoalDiff,AwayGoalDiff,DiffInGoals,HomeTeamPoints,AwayTeamPoints,DiffPts,HM1,AM1,HM2,AM2,HM3,AM3
0,11/08/17,Arsenal,Leicester,4.0,3.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
1,12/08/17,Brighton,Man City,0.0,2.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
2,12/08/17,Chelsea,Burnley,2.0,3.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
3,12/08/17,Crystal Palace,Huddersfield,0.0,3.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
4,12/08/17,Everton,Stoke,1.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
5,12/08/17,Southampton,Swansea,0.0,0.0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
6,12/08/17,Watford,Liverpool,3.0,3.0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
7,12/08/17,West Brom,Bournemouth,1.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
8,13/08/17,Man United,West Ham,4.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
9,13/08/17,Newcastle,Tottenham,0.0,2.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
10,19/08/17,Bournemouth,Watford,0.0,2.0,A,2,0.0,3.0,1.0,3.0,-1.0,0.0,-1.0,0,1,-1,M,M,M,M,M,M
11,19/08/17,Burnley,West Brom,0.0,1.0,A,2,3.0,1.0,2.0,0.0,1.0,1.0,0.0,3,3,0,M,M,M,M,M,M
12,19/08/17,Leicester,Brighton,2.0,0.0,H,2,3.0,0.0,4.0,2.0,-1.0,-2.0,1.0,0,0,0,M,M,M,M,M,M
13,19/08/17,Liverpool,Crystal Palace,1.0,0.0,H,2,3.0,0.0,3.0,3.0,0.0,-3.0,3.0,1,0,1,M,M,M,M,M,M
14,19/08/17,Southampton,West Ham,3.0,2.0,H,2,0.0,0.0,0.0,4.0,0.0,-4.0,4.0,1,0,1,M,M,M,M,M,M
15,19/08/17,Stoke,Arsenal,1.0,0.0,H,2,0.0,4.0,1.0,3.0,-1.0,1.0,-2.0,0,3,-3,M,M,M,M,M,M
16,19/08/17,Swansea,Man United,0.0,4.0,A,2,0.0,4.0,0.0,0.0,0.0,4.0,-4.0,1,3,-2,M,M,M,M,M,M
17,20/08/17,Huddersfield,Newcastle,1.0,0.0,H,2,3.0,0.0,0.0,2.0,3.0,-2.0,5.0,3,0,3,M,M,M,M,M,M
18,20/08/17,Tottenham,Chelsea,1.0,2.0,A,2,2.0,2.0,0.0,3.0,2.0,-1.0,3.0,3,0,3,M,M,M,M,M,M
19,21/08/17,Man City,Everton,1.0,1.0,D,2,2.0,1.0,0.0,0.0,2.0,1.0,1.0,3,3,0,M,M,M,M,M,M
20,26/08/17,Bournemouth,Man City,1.0,2.0,A,3,0.0,3.0,3.0,1.0,-3.0,2.0,-5.0,0,4,-4,L,D,M,M,M,M
21,26/08/17,Crystal Palace,Swansea,0.0,2.0,A,3,0.0,0.0,4.0,4.0,-4.0,-4.0,0.0,0,1,-1,L,L,M,M,M,M
22,26/08/17,Huddersfield,Southampton,0.0,0.0,D,3,4.0,3.0,0.0,2.0,4.0,1.0,3.0,6,4,2,W,W,M,M,M,M
23,26/08/17,Man United,Leicester,2.0,0.0,H,3,8.0,5.0,0.0,4.0,8.0,1.0,7.0,6,3,3,W,W,M,M,M,M
24,26/08/17,Newcastle,West Ham,3.0,0.0,H,3,0.0,2.0,3.0,7.0,-3.0,-5.0,2.0,0,0,0,L,L,M,M,M,M
25,26/08/17,Watford,Brighton,0.0,0.0,D,3,5.0,0.0,3.0,4.0,2.0,-4.0,6.0,4,0,4,W,L,M,M,M,M
26,27/08/17,Chelsea,Everton,2.0,0.0,H,3,4.0,2.0,4.0,1.0,0.0,1.0,-1.0,3,4,-1,W,D,M,M,M,M
27,27/08/17,Liverpool,Arsenal,4.0,0.0,H,3,4.0,4.0,3.0,4.0,1.0,0.0,1.0,4,3,1,W,L,M,M,M,M
28,27/08/17,Tottenham,Burnley,1.0,1.0,D,3,3.0,3.0,2.0,3.0,1.0,0.0,1.0,3,3,0,L,L,M,M,M,M
29,27/08/17,West Brom,Stoke,1.0,1.0,D,3,2.0,1.0,0.0,1.0,2.0,0.0,2.0,6,3,3,W,W,M,M,M,M
30,09/09/17,Arsenal,Bournemouth,3.0,0.0,H,4,4.0,1.0,8.0,5.0,-4.0,-4.0,0.0,3,0,3,L,L,L,L,M,M
31,09/09/17,Brighton,West Brom,3.0,1.0,H,4,0.0,3.0,4.0,1.0,-4.0,2.0,-6.0,1,7,-6,D,D,L,W,M,M
32,09/09/17,Everton,Tottenham,0.0,3.0,A,4,2.0,4.0,3.0,3.0,-1.0,1.0,-2.0,4,4,0,L,D,D,L,M,M
33,09/09/17,Leicester,Chelsea,1.0,2.0,A,4,5.0,6.0,6.0,4.0,-1.0,2.0,-3.0,3,6,-3,L,W,W,W,M,M
