,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,MW,HomeTeamScored,AwayTeamScored,HomeTeamConceded,AwayTeamConceded,HomeGoalDiff,AwayGoalDiff,DiffInGoals,HomeTeamPoints,AwayTeamPoints,DiffPts,HM1,AM1,HM2,AM2,HM3,AM3
0,13/08/16,Burnley,Swansea,0.0,1.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
1,13/08/16,Crystal Palace,West Brom,0.0,1.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
2,13/08/16,Everton,Tottenham,1.0,1.0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
3,13/08/16,Hull,Leicester,2.0,1.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
4,13/08/16,Man City,Sunderland,2.0,1.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
5,13/08/16,Middlesbrough,Stoke,1.0,1.0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
6,13/08/16,Southampton,Watford,1.0,1.0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
7,14/08/16,Arsenal,Liverpool,3.0,4.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
8,14/08/16,Bournemouth,Man United,1.0,3.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
9,15/08/16,Chelsea,West Ham,2.0,1.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
10,19/08/16,Man United,Southampton,2.0,0.0,H,2,3.0,1.0,1.0,1.0,2.0,0.0,2.0,3,1,2,M,M,M,M,M,M
11,20/08/16,Burnley,Liverpool,2.0,0.0,H,2,0.0,4.0,1.0,3.0,-1.0,1.0,-2.0,0,3,-3,M,M,M,M,M,M
12,20/08/16,Leicester,Arsenal,0.0,0.0,D,2,1.0,3.0,2.0,4.0,-1.0,-1.0,0.0,0,0,0,M,M,M,M,M,M
13,20/08/16,Stoke,Man City,1.0,4.0,A,2,1.0,2.0,1.0,1.0,0.0,1.0,-1.0,1,3,-2,M,M,M,M,M,M
14,20/08/16,Swansea,Hull,0.0,2.0,A,2,1.0,2.0,0.0,1.0,1.0,1.0,0.0,3,3,0,M,M,M,M,M,M
15,20/08/16,Tottenham,Crystal Palace,1.0,0.0,H,2,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,1,0,1,M,M,M,M,M,M
16,20/08/16,Watford,Chelsea,1.0,2.0,A,2,1.0,2.0,1.0,1.0,0.0,1.0,-1.0,1,3,-2,M,M,M,M,M,M
17,20/08/16,West Brom,Everton,1.0,2.0,A,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3,1,2,M,M,M,M,M,M
18,21/08/16,Sunderland,Middlesbrough,1.0,2.0,A,2,1.0,1.0,2.0,1.0,-1.0,0.0,-1.0,0,1,-1,M,M,M,M,M,M
19,21/08/16,West Ham,Bournemouth,1.0,0.0,H,2,1.0,1.0,2.0,3.0,-1.0,-2.0,1.0,0,0,0,M,M,M,M,M,M
20,27/08/16,Chelsea,Burnley,3.0,0.0,H,3,4.0,2.0,2.0,1.0,2.0,1.0,1.0,6,3,3,W,W,M,M,M,M
21,27/08/16,Crystal Palace,Bournemouth,1.0,1.0,D,3,0.0,1.0,2.0,4.0,-2.0,-3.0,1.0,0,0,0,L,L,M,M,M,M
22,27/08/16,Everton,Stoke,1.0,0.0,H,3,3.0,2.0,2.0,5.0,1.0,-3.0,4.0,4,1,3,W,L,M,M,M,M
23,27/08/16,Hull,Man United,0.0,1.0,A,3,4.0,5.0,1.0,1.0,3.0,4.0,-1.0,6,6,0,W,W,M,M,M,M
24,27/08/16,Leicester,Swansea,2.0,1.0,H,3,1.0,1.0,2.0,2.0,-1.0,-1.0,0.0,1,3,-2,D,L,M,M,M,M
25,27/08/16,Southampton,Sunderland,1.0,1.0,D,3,1.0,2.0,3.0,4.0,-2.0,-2.0,0.0,1,0,1,L,L,M,M,M,M
26,27/08/16,Tottenham,Liverpool,1.0,1.0,D,3,2.0,4.0,1.0,5.0,1.0,-1.0,2.0,4,3,1,W,L,M,M,M,M
27,27/08/16,Watford,Arsenal,1.0,3.0,A,3,2.0,3.0,3.0,4.0,-1.0,-1.0,0.0,1,1,0,L,D,M,M,M,M
28,28/08/16,Man City,West Ham,3.0,1.0,H,3,6.0,2.0,2.0,2.0,4.0,0.0,4.0,6,3,3,W,W,M,M,M,M
29,28/08/16,West Brom,Middlesbrough,0.0,0.0,D,3,2.0,3.0,2.0,2.0,0.0,1.0,-1.0,3,4,-1,L,W,M,M,M,M
30,10/09/16,Arsenal,Southampton,2.0,1.0,H,4,6.0,2.0,5.0,4.0,1.0,-2.0,3.0,4,2,2,W,D,D,L,M,M
31,10/09/16,Bournemouth,West Brom,1.0,0.0,H,4,2.0,2.0,5.0,2.0,-3.0,0.0,-3.0,1,4,-3,D,D,L,L,M,M
32,10/09/16,Burnley,Hull,1.0,1.0,D,4,2.0,4.0,4.0,2.0,-2.0,2.0,-4.0,3,6,-3,L,L,W,W,M,M
33,10/09/16,Liverpool,Leicester,4.0,1.0,H,4,5.0,3.0,6.0,3.0,-1.0,0.0,-1.0,4,4,0,D,W,L,D,M,M
34,10/09/16,Man United,Man City,1.0,2.0,A,4,6.0,9.0,1.0,3.0,5.0,6.0,-1.0,9,9,0,W,W,W,W,M,M
35,10/09/16,Middlesbrough,Crystal Palace,1.0,2.0,A,4,3.0,1.0,2.0,3.0,1.0,-2.0,3.0,5,1,4,D,D,W,L,M,M
36,10/09/16,Stoke,Tottenham,0.0,4.0,A,4,2.0,3.0,6.0,2.0,-4.0,1.0,-5.0,1,5,-4,L,D,L,W,M,M
37,10/09/16,West Ham,Watford,2.0,4.0,A,4,3.0,3.0,5.0,6.0,-2.0,-3.0,1.0,3,1,2,L,L,W,L,M,M
