,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,MW,HomeTeamScored,AwayTeamScored,HomeTeamConceded,AwayTeamConceded,HomeGoalDiff,AwayGoalDiff,DiffInGoals,HomeTeamPoints,AwayTeamPoints,DiffPts,HM1,AM1,HM2,AM2,HM3,AM3
0,26/08/16,Bayern Munich,Werder Bremen,6.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
1,27/08/16,Augsburg,Wolfsburg,0.0,2.0,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
2,27/08/16,Dortmund,Mainz,2.0,1.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
3,27/08/16,Ein Frankfurt,Schalke 04,1.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
4,27/08/16,FC Koln,Darmstadt,2.0,0.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
5,27/08/16,Hamburg,Ingolstadt,1.0,1.0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
6,27/08/16,M'gladbach,Leverkusen,2.0,1.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
7,28/08/16,Hertha,Freiburg,2.0,1.0,H,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
8,28/08/16,Hoffenheim,RB Leipzig,2.0,2.0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,M,M,M,M,M,M
9,09/09/16,Schalke 04,Bayern Munich,0.0,2.0,A,2,0.0,6.0,1.0,0.0,-1.0,6.0,-7.0,0,3,-3,M,M,M,M,M,M
10,10/09/16,Darmstadt,Ein Frankfurt,1.0,0.0,H,2,0.0,1.0,2.0,0.0,-2.0,1.0,-3.0,0,3,-3,M,M,M,M,M,M
11,10/09/16,Freiburg,M'gladbach,3.0,1.0,H,2,1.0,2.0,2.0,1.0,-1.0,1.0,-2.0,0,3,-3,M,M,M,M,M,M
12,10/09/16,Ingolstadt,Hertha,0.0,2.0,A,2,1.0,2.0,1.0,1.0,0.0,1.0,-1.0,1,3,-2,M,M,M,M,M,M
13,10/09/16,Leverkusen,Hamburg,3.0,1.0,H,2,1.0,1.0,2.0,1.0,-1.0,0.0,-1.0,0,1,-1,M,M,M,M,M,M
14,10/09/16,RB Leipzig,Dortmund,1.0,0.0,H,2,2.0,2.0,2.0,1.0,0.0,1.0,-1.0,1,3,-2,M,M,M,M,M,M
15,10/09/16,Wolfsburg,FC Koln,0.0,0.0,D,2,2.0,2.0,0.0,0.0,2.0,2.0,0.0,3,3,0,M,M,M,M,M,M
16,11/09/16,Mainz,Hoffenheim,4.0,4.0,D,2,1.0,2.0,2.0,2.0,-1.0,0.0,-1.0,0,1,-1,M,M,M,M,M,M
17,11/09/16,Werder Bremen,Augsburg,1.0,2.0,A,2,0.0,0.0,6.0,2.0,-6.0,-2.0,-4.0,0,0,0,M,M,M,M,M,M
