,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamScored,AwayTeamScored,HomeTeamConceded,AwayTeamConceded,HomeTeamPoints,AwayTeamPoints,HM1,AM1,HM2,AM2,HM3,AM3,HomeGoalDiff,AwayGoalDiff,DiffInGoals,DiffPts,MW
0,2016-08-26,Bayern Munich,Werder Bremen,6,0,H,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
1,2016-08-27,Augsburg,Wolfsburg,0,2,A,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
2,2016-08-27,Dortmund,Mainz,2,1,H,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
3,2016-08-27,Ein Frankfurt,Schalke 04,1,0,H,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
4,2016-08-27,FC Koln,Darmstadt,2,0,H,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
5,2016-08-27,Hamburg,Ingolstadt,1,1,D,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
6,2016-08-27,M'gladbach,Leverkusen,2,1,H,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
7,2016-08-28,Hertha,Freiburg,2,1,H,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
8,2016-08-28,Hoffenheim,RB Leipzig,2,2,D,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,1
9,2016-09-09,Schalke 04,Bayern Munich,0,2,A,0,6,1,0,0,3,M,M,M,M,M,M,-1,6,-7,-3,2
10,2016-09-10,Darmstadt,Ein Frankfurt,1,0,H,0,1,2,0,0,3,M,M,M,M,M,M,-2,1,-3,-3,2
11,2016-09-10,Freiburg,M'gladbach,3,1,H,1,2,2,1,0,3,M,M,M,M,M,M,-1,1,-2,-3,2
12,2016-09-10,Ingolstadt,Hertha,0,2,A,1,2,1,1,1,3,M,M,M,M,M,M,0,1,-1,-2,2
13,2016-09-10,Leverkusen,Hamburg,3,1,H,1,1,2,1,0,1,M,M,M,M,M,M,-1,0,-1,-1,2
14,2016-09-10,RB Leipzig,Dortmund,1,0,H,2,2,2,1,1,3,M,M,M,M,M,M,0,1,-1,-2,2
15,2016-09-10,Wolfsburg,FC Koln,0,0,D,2,2,0,0,3,3,M,M,M,M,M,M,2,2,0,0,2
16,2016-09-11,Mainz,Hoffenheim,4,4,D,1,2,2,2,0,1,M,M,M,M,M,M,-1,0,-1,-1,2
17,2016-09-11,Werder Bremen,Augsburg,1,2,A,0,0,6,2,0,0,M,M,M,M,M,M,-6,-2,-4,0,2
18,2016-09-16,FC Koln,Freiburg,3,0,H,5,1,0,5,6,0,D,W,M,M,M,M,5,-4,9,6,3
19,2016-09-17,Bayern Munich,Ingolstadt,3,1,H,9,2,1,4,6,1,W,L,M,M,M,M,8,-2,10,5,3
20,2016-09-17,Dortmund,Darmstadt,6,0,H,8,0,1,8,6,0,L,W,M,M,M,M,7,-8,15,6,3
21,2016-09-17,Ein Frankfurt,Leverkusen,2,1,H,3,2,1,4,6,0,L,W,M,M,M,M,2,-2,4,6,3
22,2016-09-17,Hamburg,RB Leipzig,0,4,A,1,6,5,2,1,4,L,W,M,M,M,M,-4,4,-8,-3,3
23,2016-09-17,Hoffenheim,Wolfsburg,0,0,D,2,2,2,0,2,4,D,D,M,M,M,M,0,2,-2,-2,3
24,2016-09-17,M'gladbach,Werder Bremen,4,1,H,6,1,2,10,6,0,L,L,M,M,M,M,4,-9,13,6,3
25,2016-09-18,Augsburg,Mainz,1,3,A,1,4,5,3,0,3,W,D,M,M,M,M,-4,1,-5,-3,3
26,2016-09-18,Hertha,Schalke 04,2,0,H,4,0,1,3,6,0,W,L,M,M,M,M,3,-3,6,6,3
27,2016-09-20,Darmstadt,Hoffenheim,1,1,D,1,3,9,3,1,3,L,D,W,D,M,M,-8,0,-8,-2,4
28,2016-09-20,Freiburg,Hamburg,1,0,H,2,1,5,6,3,1,L,L,W,L,M,M,-3,-5,2,2,4
29,2016-09-20,Ingolstadt,Ein Frankfurt,0,2,A,2,5,6,1,1,9,L,W,L,L,M,M,-4,4,-8,-8,4
30,2016-09-20,Wolfsburg,Dortmund,1,5,A,3,13,5,2,4,9,D,W,D,L,M,M,-2,11,-13,-5,4
31,2016-09-21,Bayern Munich,Hertha,3,0,H,12,4,1,4,9,6,W,W,W,W,M,M,11,0,11,3,4
32,2016-09-21,Leverkusen,Augsburg,0,0,D,2,1,4,5,1,1,L,L,W,W,M,M,-2,-4,2,0,4
33,2016-09-21,RB Leipzig,M'gladbach,1,1,D,7,7,3,3,5,7,W,W,W,L,M,M,4,4,0,-2,4
34,2016-09-21,Schalke 04,FC Koln,1,3,A,1,8,6,1,0,9,L,W,L,D,M,M,-5,7,-12,-9,4
35,2016-09-21,Werder Bremen,Mainz,1,2,A,2,6,12,4,0,6,L,W,L,D,M,M,-10,2,-12,-6,4
36,2016-09-23,Dortmund,Freiburg,3,1,H,16,3,3,8,12,3,W,W,W,L,L,W,13,-5,18,9,5
37,2016-09-24,Augsburg,Darmstadt,1,0,H,2,1,5,10,4,1,D,D,L,L,W,W,-3,-9,6,3,5
38,2016-09-24,Ein Frankfurt,Hertha,3,3,D,8,7,4,7,10,7,W,L,W,W,L,W,4,0,4,3,5
39,2016-09-24,Hamburg,Bayern Munich,0,1,A,1,13,7,1,1,12,L,W,L,W,L,W,-6,12,-18,-11,5
40,2016-09-24,Mainz,Leverkusen,2,3,A,8,5,7,6,6,4,W,D,W,L,D,W,1,-1,2,2,5
41,2016-09-24,M'gladbach,Ingolstadt,2,0,H,9,2,3,8,10,1,D,L,W,L,L,L,6,-6,12,9,5
42,2016-09-24,Werder Bremen,Wolfsburg,2,1,H,4,4,13,7,3,4,L,L,L,D,L,D,-9,-3,-6,-1,5
43,2016-09-25,FC Koln,RB Leipzig,1,1,D,9,8,2,4,10,6,W,D,W,W,D,W,7,4,3,4,5
44,2016-09-25,Hoffenheim,Schalke 04,2,1,H,5,2,4,8,6,0,D,L,D,L,D,L,1,-6,7,6,5
45,2016-09-30,RB Leipzig,Augsburg,2,1,H,10,3,5,7,9,4,D,W,D,D,W,L,5,-4,9,5,6
46,2016-10-01,Bayern Munich,FC Koln,1,1,D,14,10,2,3,13,11,W,D,W,W,W,W,12,7,5,2,6
47,2016-10-01,Darmstadt,Werder Bremen,2,2,D,3,6,12,15,2,4,L,W,D,L,L,L,-9,-9,0,-2,6
48,2016-10-01,Freiburg,Ein Frankfurt,1,0,H,4,8,8,5,6,10,L,D,W,W,L,W,-4,3,-7,-4,6
49,2016-10-01,Hertha,Hamburg,2,0,H,9,1,7,9,10,1,D,L,L,L,W,L,2,-8,10,9,6
50,2016-10-01,Ingolstadt,Hoffenheim,1,2,A,3,7,10,5,1,9,L,W,L,D,L,D,-7,2,-9,-8,6
51,2016-10-01,Leverkusen,Dortmund,2,0,H,7,16,6,5,7,12,W,W,D,W,L,W,1,11,-10,-5,6
52,2016-10-02,Schalke 04,M'gladbach,4,0,H,6,9,8,7,3,10,L,W,L,D,L,W,-2,2,-4,-7,6
53,2016-10-02,Wolfsburg,Mainz,0,0,D,4,8,7,7,5,7,L,L,L,W,D,W,-3,1,-4,-2,6
54,2016-10-14,Dortmund,Hertha,1,1,D,17,10,6,8,13,11,L,W,W,D,W,L,11,2,9,2,7
55,2016-10-15,Augsburg,Schalke 04,1,1,D,4,7,8,9,5,4,L,W,W,L,D,L,-4,-2,-2,1,7
56,2016-10-15,Ein Frankfurt,Bayern Munich,2,2,D,10,16,7,4,11,14,L,D,D,W,W,W,3,12,-9,-3,7
57,2016-10-15,FC Koln,Ingolstadt,2,1,H,12,4,4,12,14,1,D,L,D,L,W,L,8,-8,16,13,7
58,2016-10-15,Hoffenheim,Freiburg,2,1,H,9,5,6,10,12,6,W,W,W,L,D,W,3,-5,8,6,7
59,2016-10-15,M'gladbach,Hamburg,0,0,D,9,1,7,9,11,2,L,L,W,L,D,L,2,-8,10,9,7
60,2016-10-15,Werder Bremen,Leverkusen,2,1,H,8,8,16,8,7,7,D,W,W,W,L,D,-8,0,-8,0,7
61,2016-10-16,Mainz,Darmstadt,2,1,H,10,4,8,14,10,2,D,D,L,L,W,D,2,-10,12,8,7
62,2016-10-16,Wolfsburg,RB Leipzig,0,1,A,4,11,8,5,5,12,D,W,L,D,L,D,-4,6,-10,-7,7
63,2016-10-21,Hamburg,Ein Frankfurt,0,3,A,1,13,12,7,2,14,D,D,L,L,L,D,-11,6,-17,-12,8
64,2016-10-22,Bayern Munich,M'gladbach,2,0,H,18,9,4,9,17,11,D,D,D,L,W,W,14,0,14,6,8
65,2016-10-22,Darmstadt,Wolfsburg,3,1,H,7,5,15,11,5,5,L,L,D,D,L,L,-8,-6,-2,0,8
66,2016-10-22,Freiburg,Augsburg,2,1,H,7,5,11,10,9,5,L,D,W,L,L,W,-4,-5,1,4,8
67,2016-10-22,Hertha,FC Koln,2,1,H,12,13,9,6,14,14,D,W,W,D,D,D,3,7,-4,0,8
68,2016-10-22,Ingolstadt,Dortmund,3,3,D,7,20,15,9,2,14,L,D,L,L,L,W,-8,11,-19,-12,8
69,2016-10-22,Leverkusen,Hoffenheim,0,3,A,8,12,11,6,7,15,L,W,W,W,W,W,-3,6,-9,-8,8
70,2016-10-23,RB Leipzig,Werder Bremen,3,1,H,14,9,6,19,15,7,W,W,W,D,D,W,8,-10,18,8,8
71,2016-10-23,Schalke 04,Mainz,3,0,H,10,10,9,11,7,10,D,W,W,D,L,L,1,-1,2,-3,8
72,2016-10-28,M'gladbach,Ein Frankfurt,0,0,D,9,13,9,7,12,15,L,W,D,D,L,L,0,6,-6,-3,9
73,2016-10-29,Augsburg,Bayern Munich,1,3,A,6,21,13,5,5,20,L,W,D,D,L,D,-7,16,-23,-15,9
74,2016-10-29,Darmstadt,RB Leipzig,0,2,A,7,16,17,6,5,18,W,W,L,W,D,W,-10,10,-20,-13,9
75,2016-10-29,Dortmund,Schalke 04,0,0,D,20,10,9,9,15,8,D,W,D,D,L,W,11,1,10,7,9
